breadcrumbs,title,discount,date,duration,price,meals,desc,imgSrc
"Strona główna,Oferty na wczasy,Polska,Warszawa",Sangate Airport (ex Gromada Lotnisko),,11.12.2020,1 dzień,67-,RO - Bez wyżywienia,"Kraj:,POLSKA,Opis:,Sangate Hotel Airport zlokalizowany jest w Warszawie, tylko 800 m od Lotniska Chopina. Dogodna lokalizacja pozwala na łatwe dotarcie do największych atrakcji miasta. Hotel do dyspozycji Gości udostępnił komfortowe pokoje o zróżnicowanym standardzie oraz restaurację.,Pokoje różnią się od siebie powierzchnią i standardem, z okien rozpościera się widok na miasto lub lotnisko. Wszystkie wnętrza wyposażono w: telewizor, bezprzewodowy dostęp do internetu, zestaw do parzenia kawy i herbaty oraz ręczniki. Każdy pokój dysponuje prywatną łazienką z kabiną prysznicową lub wanną.,Hotelowa restauracja serwuje dania kuchni polskiej, przygotowane ze świeżych, dobrej jakości produktów. Do dyspozycji oddano również Lobby Bar, gdzie można skosztować aromatycznej, świeżo mielonej kawy i kolorowych drinków. To idealne miejsce dla chwili relaksu po aktywnie spędzonym dniu.,Pokój 2-os. Biznes Twin:,Komfortowy pokój przeznaczony dla dwóch osób. W wyposażeniu: TV, WiFi, zestaw do parzenia kawy i herbaty, woda mineralna oraz ręczniki,Pokój 2-os. Biznes Double:",https://cdntravelplanet.pl/1010567/NKRA/miniature650x367/polska/warszawa/warszawa/sangate-airport-(ex-gromada-lotnisko)_0.jpg?datago=1&t=637428269479335241
"Strona główna,Oferty na wczasy,Polska,Wyżyna Lubelska I Roztocze,Pułankowice",Marta,,28.12.2020,1 dzień,67-,BB - Śniadania,"Kraj:,POLSKA,Opis:,Hotel Marta *** położony jest w malowniczym otoczeniu, w miejscowości Pułankowice k. Kraśnika. Hotelowa restauracja jest laureatem wielu konkursów m.in.  ""Złotej Łyżki"" i ""Ambasadora kulinarnego 2013""(Europ.Festiwal Smaku); ""Na szlaku polskiej gęsiny"". Do dyspozycji Gości oddano komfortowe pokoje, znakomitą restaurację oraz piękny ogród.,Hotel umożliwił pobyt w pokojach 1, 2 i 3-osobowych, z których okien rozpościera się widok na ogród. Wszystkie wnętrza urządzono w klasycznym stylu i wyposażono w: telewizor, bezprzewodowy dostęp do internetu, biurko i stolik. Każdy pokój dysponuje też prywatną łazienką z kabiną prysznicową.,Hotelowa restauracja serwuje głównie dania tradycyjnej polskiej kuchni, przygotowywane ze świeżych regionalnych produktów. Szczególne miejsce w menu zajmuje tu dziczyzna i owoce lasu. Wiele z przepisów pochodzi od nadwornego kucharza Księcia Eustachego Sapiehy - Jana Szyttlera z 1850 r. Restauracja doceniania była przez autorytety kulinarne, dlatego powinna zaspokoić nawet najbardziej wymagających Gości.,Hotel oferuje wiele udogodnień dla najmłodszych m.in. wanienki, krzesełka do karmienia oraz specjalne menu.,Pokój 1-os.:,Komfortowy pokój przeznaczony dla 1 osoby. W wyposażeniu: TV, WiFi, stolik, biurko i prywatna toaleta.",https://cdntravelplanet.pl/1010572/NKRA/miniature650x367/polska/wyzyna-lubelska-i-roztocze/pulankowice/marta_0.jpg?datago=1&t=637431766468890859
"Strona główna,Oferty na wczasy,Indonezja,Bali,Kuta",Four Points by Sheraton (Kuta),,czw. 22.04.2021,8 dni,4 481,BB - Śniadania,":,4*,Indonezja/Bali,Kategoria :,Kategoria Exim Tours: 4*,Kategoria lokalna: 4*,Położenie :,- 300m od plaży,- centrum Kuta",https://cdntravelplanet.pl/30348/EXIM/miniature650x367/indonezja/bali/kuta/four-points-by-sheraton-(kuta)_0.jpg?datago=1&t=637431154626108360
"Strona główna,Oferty na wczasy,Polska,Wybrzeże Zachodnie,Ustronie Morskie",Skal,,11.08.2021,6 dni,2 537,AI - All Inclusive,"* Udogodnienia:, Poprawność udogodnień zawsze weryfikuj z opisem hotelu.,Dokumenty podróży:",https://cdntravelplanet.pl/1010149/NKRA/miniature650x367/polska/wybrzeze-zachodnie/ustronie-morskie/skal_0.jpg?datago=1&t=637432583736743125
"Strona główna,Oferty na wczasy,Polska,Pojezierze Wielkopolskie,Konin",OW Portofino,,11.04.2021,1 dzień,75-,BB - Śniadania,"Kraj:,POLSKA,Opis:,OW Portofino położony jest nad malowniczym Jeziorem Pątnowskim w Koninie. Pozwala to na uprawianie różnych sportów wodnych, a także na wędkowanie. Jest to świetne miejsce na wyciszenie i relaks z dala od miejskiego zgiełku. Obiekt oferuje komfortowe noclegi, restaurację, salę bankietową i konferencyjną oraz możliwość wypożyczenia sprzętu wodnego.,Dla Gości przygotowano przestronne i przytulne pokoje w klasycznym stylu. Wnętrza są wyposażone w telewizor z płaskim ekranem, bezprzewodowy internet, czajnik oraz prywatną łazienkę z kabiną prysznicową.,Do dyspozycji Gości jest restauracja podająca dania kuchni polskiej i międzynarodowej. Posiłki przygotowywane są ze świeżych  dobrej jakości produktów. Codziennie podawane są pyszne śniadania w formie urozmaiconego bufetu.,Pokój 2-os Standard:,Komfortowy dwuosobowy pokój wyposażony w wyposażone w telewizor z płaskim ekranem, bezprzewodowy internet, czajnik oraz prywatną łazienkę z kabiną prysznicową.Lokalizacja:,OW Portofino zlokalizowany jest na obrzeżach Konica nad Jeziorem Pątnowskim, w odległości ok. 10 km od Świątyni w Licheniu.",https://cdntravelplanet.pl/1010462/NKRA/miniature650x367/polska/pojezierze-wielkopolskie/konin/ow-portofino_0.jpg?datago=1&t=637430105509452735
"Strona główna,Oferty na wczasy,Polska,Tatry I Podhale,Zakopane",Willa Excelsior,,18.12.2020,2 dni,115,RO - Bez wyżywienia,"Kraj:,POLSKA,Opis:,Willa Excelsior (dawna nazwa Pod Berłami) wybudowana została w XX-leciu międzywojennym. Niedawno została poddana gruntownej modernizacji, lecz nie zatraciła swojego przedwojennego uroku. Szczególny, kameralny i przyjazny klimat willi tworzy gościnne zacisze dla turystów.,W ofercie willi są wygodnie urządzone pokoje 1, 2, 3 osobowe oraz 2 apartamenty czteroosobowe. Każdy pokój posiada własną łazienkę z prysznicem, telewizję satelitarną oraz bezpłatne łącze internetowe. Część pokoi dysponuje balkonem oraz widokiem na góry.,Ponadto do dyspozycji gości jest salonik, narciarnia, duży ogród z miejscem na ognisko i parking na ogrodzonym terenie. Willa dysponuje pełnym zapleczem gastronomiczno-konferencyjnym, organizuje pobyty indywidualne, grupowe, spotkania integracyjne, konferencje, szkolenia jak również przyjęcia okolicznościowe i bankiety.,Pokój 4-os.:,Wygodnie urządzony pokój z łazienką, telewizorem i dostępem do Internetu. Składa się z pokoju i dodatkowej sypialni.,Pokój 1-os.:",https://cdntravelplanet.pl/1010774/NKRA/miniature650x367/polska/tatry-i-podhale/zakopane/willa-excelsior_0.jpg?datago=1&t=637429492350780860
"Strona główna,Oferty na wczasy,Włochy,Kalabria,Capo Vaticano",La Conchiglia Suites & Spa,-33%,niedz. 05.09.2021,7 dni,2 599,AI - All Inclusive,"Kategoria:,****,Region:,Włochy  /  Kalabria,Opis oferty: :,Położony w spokojnej okolicy, blisko plaży, otoczony dużym ogrodem ze śródziemnomorską roślinnością jest doskonałym wyborem na rodzinne wakacje w słonecznej Kalabrii. Do dyspozycji Gości jest basen, brodzik, restauracja z tarasem i pięknym widokiem na morze, bar, a także bezpłatny internet bezprzewodowy w miejscach ogólnodostępnych hotelu. Ceniony za przyjazną obsługę i doskonałą lokalizację, jest świetną bazą wypadową do zwiedzania regionu. Blisko stąd do słynnej Tropei oraz do Spiaggia Grotticelle - jednej z najpiękniejszych plaż Kalabrii z licznymi zatoczkami i krystalicznie czystą wodą. W 2019 r. hotel otrzymał ŻAGIEL ITAKI za najwyższą jakość świadczonych usług.,POŁOŻENIE: :,ok. 1,5 km od centrum CAPO VATICANO, ok. 1 km od supermarketu, najbliższe restauracje ok. 300 m od hotelu, ok. 2 km od jednej z najpiękniejszych plaż Kalabrii - Spiaggia Grotticelle (dojście ruchliwą drogą), ok. 10 km od słynnego kurortu Tropea z barami, restauracjami, sklepami i nocnym życiem; ok. 70 km od lotniska Lamezia Terme; bezpłatny bus hotelowy na plażę (za dopłatą: dworzec, centrum Capo Vaticano), ok. 850 m od stacji kolejowej w Ricadi (Tropea).,PLAŻA: :",https://cdntravelplanet.pl/SUFCONC/VITX/miniature650x367/wlochy/kalabria/capo-vaticano/la-conchiglia-suites--spa_0.jpg?datago=1&t=637427931473222266
"Strona główna,Oferty na wczasy,Polska,Wybrzeże Zachodnie,Kołobrzeg",VacationClub Olympic Park Apartments,,24.04.2021,1 dzień,76-,RO - Bez wyżywienia,"Kraj:,POLSKA,Opis:,VacationClub Olympic Park Apartments to obiekt położony we wschodniej części Kołobrzegu, tuż przy promenadzie nadmorskiej i zaledwie 80 metrów od morza.,Do dyspozycji gości oddano apartamenty składające się z komfortowej sypialni z dużym łóżkiem małżeńskim, przestronnego salonu z rozkładaną sofą, łazienki z kabiną prysznicową oraz aneksu kuchennego. Dodatkowo, każdy apartament wyposażony jest w telewizję oraz bezpłatny bezprzewodowy internet.,Aneks kuchenny został tak wyposażony, aby zaspokajać codzienne potrzeby. Znajdują się tu m.in. lodówka, płyta indukcyjna, komplet naczyń, sztućce, akcesoria kuchenne, szklanki i kieliszki do wina.,Goście apartamentowca mogą bez ograniczeń korzystać ze strefy SPA w Marine Hotel*****& Ultra Marine. Tutejszy basen sportowy wyposażony jest w podwodny system do słuchania muzyki, a basen rekreacyjny w masaże ścienne, ławeczki i leżanki z masażem. Oprócz tego, w strefie znajduje się zewnętrzne jacuzzi i siłownia.,Apartament 2-osobowy standard:,Apartament składa się z komfortowej sypialni z dużym łóżkiem małżeńskim, przestronnego salonu z rozkładaną sofą, łazienki z kabiną prysznicową oraz aneksu kuchennego. Dodatkowo, każdy apartament wyposażony jest w telewizję oraz bezpłatny bezprzewodowy internet.",https://cdntravelplanet.pl/1010335/NKRA/miniature650x367/polska/wybrzeze-zachodnie/kolobrzeg/vacationclub-olympic-park-apartments_0.jpg?datago=1&t=637432881578217735
"Strona główna,Oferty na wczasy,Polska,Trójmiasto,Sopot",B&B Molo,,08.11.2021,1 dzień,76-,RO - Bez wyżywienia,"Kraj:,POLSKA,Opis:,B&B Molo to komfortowy obiekt położony w spokojnej dzielnicy Sopotu, dzieli go tylko 1 km od piaszczystej plaży. Usytuowanie wśród zieleni pozwala na zaczerpnięcie oddechu z dala od zgiełku miasta. Jednocześnie lokalizacja umożliwia szybki dostęp do większości okolicznych atrakcji turystycznych.,Do dyspozycji Gości oddano przestronne pokoje 1, 2, 3 i 4-osobowe, a także 6-osobowe studio z aneksem kuchennym. Wszystkie wnętrza utrzymane są w jasnej kolorystyce i klasycznym, eleganckim stylu. W wyposażeniu znajduje się telewizor z płaskim ekranem, bezprzewodowy dostęp do internetu, biurko oraz czajnik elektryczny. Każdy pokój dysponuje też prywatną łazienką z kabiną prysznicową, suszarką do włosów i zestawem kosmetyków.,Goście B&B Molo mogą skorzystać z oferty gastronomicznej obiektu. Posiłki przygotowywane są ze świeżych, lokalnych produktów, a na życzenie dostępne jest np. menu wegetariańskie. Każdy dzień rozpoczyna się tu pożywnym śniadaniem, w formie bufetu szwedzkiego.,Osoby ceniące sobie chwile relaksu, powinny skorzystać z kameralnej Strefy Wellness. Znajdują się tu dwie sauny - sucha i na podczerwień, a także gabinet masażu.,Pokój 1-os.:,Komfortowy pokój z łazienką z kabiną prysznicową, suszarką do włosów, ręcznikami i zestawem kosmetyków. W wyposażeniu: TV, WiFi, biurko i czajnik.",https://cdntravelplanet.pl/1011405/NKRA/miniature650x367/polska/trojmiasto/sopot/bb-molo_0.jpg?datago=1&t=637427747805827012
"Strona główna,Oferty na wczasy,Polska,Trójmiasto,Gdańsk",Arena Expo (Gdańsk),,14.12.2020,1 dzień,80-,BB - Śniadania,"Kraj:,POLSKA,Opis:,Hotel Arena Expo to nowo powstały, doskonale usytuowany obiekt, w którym doświadczony personel zapewnia profesjonalną obsługę, a wnętrza zachęcają do odpoczynku. Jest to także doskonała baza wypadowa do zwiedzenia Gdańska, w szczególności Starówki.,Do dyspozycji gości oddano nowoczesne i przestronne pokoje, z których każdy jest wyposażony w: telewizor, bezprzewodowy internet WiFi, klimatyzację oraz prywatną łazienkę z kabiną prysznicową.,Każdy dzień rozpoczyna się śniadaniem w formie urozmaiconego bufetu szwedzkiego, w którym nie brakuje również świeżo parzonej aromatycznej kawy. W ciągu dnia goście mogą skorzystać z oferty świetnie zaopatrzonego baru obejmującej m.in. napoje alkoholowe i bezalkoholowe.,Pokój 2-os. Standard:,Komfortowy pokój wyposażony w: telewizor, bezprzewodowy internet WiFi, klimatyzację oraz prywatną łazienkę z kabiną prysznicową.Lokalizacja:,Hotel Arena Expo w Gdańsku jest usytuowany w bliskim sąsiedztwie stadionu Energa Gdańsk oraz kompleksu targów międzynarodowych ""AMBER EXPO"".",https://cdntravelplanet.pl/1010375/NKRA/miniature650x367/polska/trojmiasto/gdansk/arena-expo-(gdansk)_0.jpg?datago=1&t=637428271799675703
