category,subcategories,subcatLinks
Wczasy,"Wakacje w zimie 2020,Wakacje bez paszportu,Promocje,Wakacje z dzieckiem,All Inclusive,Egzotyka","https://www.travelplanet.pl/wypoczynek/wakacje-w-zimie-2020/,https://www.travelplanet.pl/wczasy/bez-paszportu/,https://www.travelplanet.pl/wczasy/promocje/,https://www.travelplanet.pl/wczasy/dzieci/,https://www.travelplanet.pl/wczasy/all-inclusive/,https://www.travelplanet.pl/wczasy/egzotyka/,https://domy-wakacyjne.travelplanet.pl/?language=pl,https://www.travelplanet.pl/blog/otwarcie-granic-gdzie-jak-i-kiedy-wyjedziemy-na-wakacje-2020/"
Wakacje w Polsce,"Bon turystyczny,Urlop nad morzem,Urlop w górach,Polska all inclusive,Ferie w Polsce,Last minute w Polsce","https://www.travelplanet.pl/wypoczynek/polski-bon-turystyczny/,https://www.travelplanet.pl/wczasy/nad-morzem/,https://www.travelplanet.pl/wczasy/w-gorach/,https://www.travelplanet.pl/wczasy/all-inclusive-hotele/polska/,https://www.travelplanet.pl/wypoczynek/ferie-w-polsce/,https://www.travelplanet.pl/wczasy/tanie-last-minute/polska/"
Lato 2021,"Turcja,Grecja,Hiszpania,Bułgaria,Egipt,Cypr,Tunezja,Albania,Włochy,Portugalia,Malediwy","https://www.travelplanet.pl/wczasy/lato-2021/turcja/,https://www.travelplanet.pl/wczasy/lato-2021/grecja/,https://www.travelplanet.pl/wczasy/lato-2021/hiszpania/,https://www.travelplanet.pl/wczasy/lato-2021/bulgaria/,https://www.travelplanet.pl/wczasy/lato-2021/egipt/,https://www.travelplanet.pl/wczasy/lato-2021/cypr/,https://www.travelplanet.pl/wczasy/lato-2021/tunezja/,https://www.travelplanet.pl/wczasy/lato-2021/albania/,https://www.travelplanet.pl/wczasy/lato-2021/wlochy/,https://www.travelplanet.pl/wczasy/lato-2021/portugalia/,https://www.travelplanet.pl/wczasy/lato-2021/malediwy/"
Super Last Minute,"Malta,Turcja,Grecja,Hiszpania,Egipt,Kuba,Cypr,Emiraty Arabskie","https://www.travelplanet.pl/wczasy/super-last-minute/malta/,https://www.travelplanet.pl/wczasy/super-last-minute/turcja/,https://www.travelplanet.pl/wczasy/super-last-minute/grecja/,https://www.travelplanet.pl/wczasy/super-last-minute/hiszpania/,https://www.travelplanet.pl/wczasy/super-last-minute/egipt/,https://www.travelplanet.pl/wczasy/super-last-minute/kuba/,https://www.travelplanet.pl/wczasy/super-last-minute/cypr/,https://www.travelplanet.pl/wczasy/super-last-minute/emiraty-arabskie/"
Narty,"Szwajcaria,Austria,Włochy,Lodowce,Francja,Promocje,Ubezpieczenie narciarskie","https://www.travelplanet.pl/narty/oferty/szwajcaria/,https://www.travelplanet.pl/narty/oferty/austria/,https://www.travelplanet.pl/narty/oferty/wlochy/,https://www.travelplanet.pl/narty/lodowce/,https://www.travelplanet.pl/narty/oferty/francja/,https://www.travelplanet.pl/narty/promocje/,https://www.travelplanet.pl/ubezpieczenie-turystyczne/narciarskie/"
Wycieczki objazdowe,"Promocje,Autokarowe,Miasta Europy,Oferty wycieczek,Francja ,Włochy ,Maroko ,Rejsy,Egipt,Kenia,Chiny ,Indie,USA","https://www.travelplanet.pl/promocje/,https://www.travelplanet.pl/wycieczki-objazdowe/autokarem/,https://www.travelplanet.pl/city-break/oferty/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/francja/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/wlochy/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/maroko/,https://www.travelplanet.pl/wycieczki-objazdowe/rejsy/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/egipt/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/kenia/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/chiny/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/indie/,https://www.travelplanet.pl/wycieczki-objazdowe/oferty/stany-zjednoczone/"
